"Search Results"

"Summary"
"Saved on";"11.06.2018 08.18.55"
"Searched for";"fluor"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"325"            
"Number of instance(s) found";"10362"          

"File name";"Title";"Page";"Search Instance"
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"YEL/GN CUT FLUOR SIL CMT, OCC 8LIC GRNS, FAIR • GD VIS POR, "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"A/A NO FLUOR. PR TR V SLOW CUT W/DULL YEL FLUOR 24 "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"W/DULL YEL FLUOR 24 2867.4 28 SLTST: MOD RD 8RN, FRM, VF - "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"• SUBRNO NO FLUOR. V DULL YEL GN CALC/SIL CMT, FAIR VIS POR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"VIS POR RESD FLUOR 20 2874.8 20 SST: WH • LT GRY, GEN CLR, "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"SUBRNO • NO FLUOR. V SLOW CUT W/ SUBANG, OCC RNO, V CALC CMT, "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"DULL CLOY YEL FLUOR 18 2878.1 30 SST: BNO MOO RO BRN/DIC RD "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"ORNG (MIN?) FLUOR, CMT, GRAO TO SOY LST, FAIR VIS POR V POOR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"171";"MED SAT, HO, FLUOR, SLOW - CALC CMT, FRAGS OF BLK SH WKYELWHCUT 21846- "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"171";"SUBFISS, H~FRAM, FLUOR/CUT MICROPYR 2848- ----- rk ."

"File name";"Title";"Page";"Search Instance"
"15_3-1_S__WELL__15-03-01_PB-706-0785.PDF";"";"7";"direct and cut fluorescence. Core 2 (4083-4092) Yellow direct and yellow to "
"15_3-1_S__WELL__15-03-01_PB-706-0785.PDF";"";"7";"to green cut fluorescence, strong hydrocarbon odor, and gas bubn£es on sandstone. Core "
"15_3-1_S__WELL__15-03-01_PB-706-0785.PDF";"";"7";": No direct fluorescence, yellow cut fluorescence·cand strong hydrocarbon odor and bubbles "
